"CODE","NAME","DATE","mean","median","sd","min","max"
270450,"Maragogi","2016-10-31",0.5022,0.48,0.1221,0.28,0.928
270460,"Maravilha","2016-10-31",0.0839,0.076,0.0365,0.016,0.248
270470,"Marechal Deodoro","2016-10-31",0.416,0.428,0.1263,0.04,0.824
270480,"Maribondo","2016-10-31",0.3746,0.372,0.0669,0.216,0.596
270490,"Mar Vermelho","2016-10-31",0.3738,0.384,0.0862,0.148,0.536
270500,"Mata Grande","2016-10-31",0.1095,0.1,0.0458,0.024,0.384
270510,"Matriz de Camaragibe","2016-10-31",0.405,0.404,0.0847,0.148,0.752
270520,"Messias","2016-10-31",0.3962,0.4,0.092,0.128,0.784
270530,"Minador do Negrão","2016-10-31",0.1008,0.092,0.0373,0.036,0.272
270540,"Monteirópolis","2016-10-31",0.0943,0.088,0.0321,0.048,0.264
270550,"Murici","2016-10-31",0.4114,0.388,0.1523,0.108,0.948
270560,"Novo Lino","2016-10-31",0.3683,0.364,0.0743,0.16,0.768
270570,"Olho d'Água das Flores","2016-10-31",0.0916,0.088,0.0305,0.04,0.264
270580,"Olho d'Água do Casado","2016-10-31",0.1219,0.116,0.0412,0.04,0.3
270590,"Olho d'Água Grande","2016-10-31",0.1621,0.156,0.0421,0.088,0.344
270600,"Olivença","2016-10-31",0.0805,0.076,0.0238,0.04,0.184
270610,"Ouro Branco","2016-10-31",0.0517,0.048,0.0241,0.008,0.12
270620,"Palestina","2016-10-31",0.0918,0.088,0.0257,0.048,0.228
270630,"Palmeira dos Índios","2016-10-31",0.1539,0.136,0.074,0.036,0.512
270640,"Pão de Açúcar","2016-10-31",0.111,0.108,0.0408,0.016,0.36
270642,"Pariconha","2016-10-31",0.1077,0.096,0.048,0.036,0.272
270644,"Paripueira","2016-10-31",0.5177,0.488,0.1378,0.228,0.924
270650,"Passo de Camaragibe","2016-10-31",0.5093,0.496,0.0989,0.236,0.944
270660,"Paulo Jacinto","2016-10-31",0.2561,0.248,0.0822,0.1,0.456
270670,"Penedo","2016-10-31",0.3546,0.368,0.1139,0.004,0.756
270680,"Piaçabuçu","2016-10-31",0.4128,0.428,0.1252,0,0.816
270690,"Pilar","2016-10-31",0.3693,0.376,0.1113,0.04,0.676
270700,"Pindoba","2016-10-31",0.4252,0.424,0.0485,0.292,0.544
270710,"Piranhas","2016-10-31",0.1199,0.116,0.0433,0.028,0.28
270720,"Poço das Trincheiras","2016-10-31",0.1006,0.092,0.0407,0.028,0.248
270730,"Porto Calvo","2016-10-31",0.4284,0.424,0.0885,0.204,0.88
270740,"Porto de Pedras","2016-10-31",0.4673,0.456,0.0944,0.236,0.88
270750,"Porto Real do Colégio","2016-10-31",0.1895,0.172,0.0712,0.084,0.516
270760,"Quebrangulo","2016-10-31",0.27,0.216,0.1721,0.072,0.96
270770,"Rio Largo","2016-10-31",0.3878,0.396,0.1165,0.072,0.92
270780,"Roteiro","2016-10-31",0.4085,0.412,0.1363,0.12,0.912
270790,"Santa Luzia do Norte","2016-10-31",0.462,0.484,0.1312,0.004,0.824
270800,"Santana do Ipanema","2016-10-31",0.0986,0.088,0.0404,0.032,0.248
270810,"Santana do Mundaú","2016-10-31",0.3845,0.388,0.0649,0.208,0.596
270820,"São Brás","2016-10-31",0.1407,0.132,0.0377,0.068,0.32
270830,"São José da Laje","2016-10-31",0.3233,0.304,0.1269,0.088,0.82
270840,"São José da Tapera","2016-10-31",0.0963,0.092,0.0418,0.024,0.3
270850,"São Luís do Quitunde","2016-10-31",0.4353,0.432,0.099,0.148,0.844
270860,"São Miguel dos Campos","2016-10-31",0.3913,0.396,0.1141,0.08,0.884
270870,"São Miguel dos Milagres","2016-10-31",0.531,0.518,0.0925,0.368,0.852
270880,"São Sebastião","2016-10-31",0.2646,0.256,0.0718,0.108,0.472
270890,"Satuba","2016-10-31",0.444,0.466,0.106,0.108,0.764
270895,"Senador Rui Palmeira","2016-10-31",0.0744,0.068,0.0303,0.02,0.236
270900,"Tanque d'Arca","2016-10-31",0.3129,0.308,0.0887,0.124,0.58
270910,"Taquarana","2016-10-31",0.2226,0.208,0.0854,0.072,0.58
270915,"Teotônio Vilela","2016-10-31",0.3553,0.36,0.0894,0.096,0.728
